INDEKSAS,PAVAD,LIDAR_LAZ
70/40,ŠIAULIAI,https://www.geoportal.lt/download/lidar_data/2025/70_40.zip
71/40,AKMENIAI,https://www.geoportal.lt/download/lidar_data/2025/71_40.zip
72/40,ŠIRVINTOS,https://www.geoportal.lt/download/lidar_data/2025/72_40.zip
73/40,ŠEŠUOLĖLIAI,https://www.geoportal.lt/download/lidar_data/2025/73_40.zip
74/40,ALIONYS II,https://www.geoportal.lt/download/lidar_data/2025/74_40.zip
75/40,JUODIŠKIAI,https://www.geoportal.lt/download/lidar_data/2025/75_40.zip
76/40,KRAUJALEIDŽIAI,https://www.geoportal.lt/download/lidar_data/2025/76_40.zip
66/39,GEGUŽINĖ,https://www.geoportal.lt/download/lidar_data/2025/66_39.zip
67/39,KEIŽONYS,https://www.geoportal.lt/download/lidar_data/2025/67_39.zip
68/39,LIUKONYS,https://www.geoportal.lt/download/lidar_data/2025/68_39.zip
69/39,JUODONYS,https://www.geoportal.lt/download/lidar_data/2025/69_39.zip
70/39,VINDEIKIAI,https://www.geoportal.lt/download/lidar_data/2025/70_39.zip
71/39,DRUŽAI,https://www.geoportal.lt/download/lidar_data/2025/71_39.zip
72/39,AVIŽONYS,https://www.geoportal.lt/download/lidar_data/2025/72_39.zip
73/39,RAMAŠKONYS,https://www.geoportal.lt/download/lidar_data/2025/73_39.zip
74/39,ALIONYS I,https://www.geoportal.lt/download/lidar_data/2025/74_39.zip
75/39,GLITIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/75_39.zip
76/39,MASELIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/76_39.zip
77/39,VISALAUKĖ,https://www.geoportal.lt/download/lidar_data/2025/77_39.zip
78/39,RAKŠONYS,https://www.geoportal.lt/download/lidar_data/2025/78_39.zip
66/38,NEPRĖKŠTA,https://www.geoportal.lt/download/lidar_data/2025/66_38.zip
67/38,ZŪBIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/67_38.zip
68/38,ČIOBIŠKIS,https://www.geoportal.lt/download/lidar_data/2025/68_38.zip
69/38,LAPELĖS,https://www.geoportal.lt/download/lidar_data/2025/69_38.zip
70/38,MUSNINKAI,https://www.geoportal.lt/download/lidar_data/2025/70_38.zip
71/38,TAUČIULIAI,https://www.geoportal.lt/download/lidar_data/2025/71_38.zip
72/38,BARTKUŠKIS,https://www.geoportal.lt/download/lidar_data/2025/72_38.zip
73/38,ŠIAULIAI,https://www.geoportal.lt/download/lidar_data/2025/73_38.zip
74/38,VIČIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/74_38.zip
77/38,VARNIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/77_38.zip
78/38,ADOMAIČIAI,https://www.geoportal.lt/download/lidar_data/2025/78_38.zip
66/37,KASČIUKIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/66_37.zip
67/37,STABINTIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/67_37.zip
68/37,MIKALAUČIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/68_37.zip
69/37,PAPARČIAI,https://www.geoportal.lt/download/lidar_data/2025/69_37.zip
70/37,LIULIŠKIAI,https://www.geoportal.lt/download/lidar_data/2025/70_37.zip
71/37,PASPĖRIAI,https://www.geoportal.lt/download/lidar_data/2025/71_37.zip
72/37,JAUNIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/72_37.zip
73/37,MEDŽIUKAI,https://www.geoportal.lt/download/lidar_data/2025/73_37.zip
74/37,BARSKŪNAI,https://www.geoportal.lt/download/lidar_data/2025/74_37.zip
75/37,ANAVILIS,https://www.geoportal.lt/download/lidar_data/2025/75_37.zip
76/37,ŠRIUBIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/76_37.zip
78/37,VERIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/78_37.zip
79/37,MIŠKINIAI,https://www.geoportal.lt/download/lidar_data/2025/79_37.zip
67/36,ŽASLIAI,https://www.geoportal.lt/download/lidar_data/2025/67_36.zip
68/36,DAINAVA,https://www.geoportal.lt/download/lidar_data/2025/68_36.zip
69/36,VAREIKONYS,https://www.geoportal.lt/download/lidar_data/2025/69_36.zip
70/36,KERNAVĖ,https://www.geoportal.lt/download/lidar_data/2025/70_36.zip
71/36,GEISIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/71_36.zip
72/36,KIEMELIAI,https://www.geoportal.lt/download/lidar_data/2025/72_36.zip
73/36,MAIŠIAGALA,https://www.geoportal.lt/download/lidar_data/2025/73_36.zip
74/36,KARVYS,https://www.geoportal.lt/download/lidar_data/2025/74_36.zip
75/36,PIKELIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/75_36.zip
76/36,ŠALTONIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/76_36.zip
77/36,AŽULAUKĖ,https://www.geoportal.lt/download/lidar_data/2025/77_36.zip
78/36,DIDŽIOSIOS KABIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/78_36.zip
66/35,STASIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/66_35.zip
67/35,Gelež. stotis ŽASLIAI,https://www.geoportal.lt/download/lidar_data/2025/67_35.zip
68/35,GABRILIAVA,https://www.geoportal.lt/download/lidar_data/2025/68_35.zip
69/35,KAUGONYS,https://www.geoportal.lt/download/lidar_data/2025/69_35.zip
70/35,KAZOKIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/70_35.zip
71/35,AIRĖNAI,https://www.geoportal.lt/download/lidar_data/2025/71_35.zip
72/35,DŪKŠTOS,https://www.geoportal.lt/download/lidar_data/2025/72_35.zip
73/35,GENIAI,https://www.geoportal.lt/download/lidar_data/2025/73_35.zip
75/35,RIEŠĖ,https://www.geoportal.lt/download/lidar_data/2025/75_35.zip
76/35,DIDŽIOJI RIEŠĖ,https://www.geoportal.lt/download/lidar_data/2025/76_35.zip
77/35,NAUJANERIAI,https://www.geoportal.lt/download/lidar_data/2025/77_35.zip
78/35,NEMENČINĖ,https://www.geoportal.lt/download/lidar_data/2025/78_35.zip
66/34,MŪRO STRĖVININKAI,https://www.geoportal.lt/download/lidar_data/2025/66_34.zip
67/34,KLONINIAI MIJAUGONYS,https://www.geoportal.lt/download/lidar_data/2025/67_34.zip
68/34,ELEKTRĖNAI,https://www.geoportal.lt/download/lidar_data/2025/68_34.zip
70/34,VIEVIS,https://www.geoportal.lt/download/lidar_data/2025/70_34.zip
71/34,PANERIAI,https://www.geoportal.lt/download/lidar_data/2025/71_34.zip
72/34,PUGAINIAI,https://www.geoportal.lt/download/lidar_data/2025/72_34.zip
73/34,SUDERVĖ,https://www.geoportal.lt/download/lidar_data/2025/73_34.zip
75/34,AVIŽIENIAI,https://www.geoportal.lt/download/lidar_data/2025/75_34.zip
78/34,VILNIUS - MEIRIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/78_34.zip
58/33,PAJIESYS,https://www.geoportal.lt/download/lidar_data/2025/58_33.zip
59/33,IŠLAUŽAS,https://www.geoportal.lt/download/lidar_data/2025/59_33.zip
60/33,PAKUONIS,https://www.geoportal.lt/download/lidar_data/2025/60_33.zip
61/33,DARSŪNIŠKIS,https://www.geoportal.lt/download/lidar_data/2025/61_33.zip
62/33,MIGONYS,https://www.geoportal.lt/download/lidar_data/2025/62_33.zip
63/33,KRUONIS,https://www.geoportal.lt/download/lidar_data/2025/63_33.zip
64/33,KOVAIČIAI,https://www.geoportal.lt/download/lidar_data/2025/64_33.zip
65/33,KIBUČIAI,https://www.geoportal.lt/download/lidar_data/2025/65_33.zip
66/33,LINGIAI,https://www.geoportal.lt/download/lidar_data/2025/66_33.zip
67/33,NAUJOSIOS KIETAVIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/67_33.zip
68/33,PASTRĖVYS (šiaurė),https://www.geoportal.lt/download/lidar_data/2025/68_33.zip
69/33,PAKALNIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/69_33.zip
71/33,LAZDĖNAI,https://www.geoportal.lt/download/lidar_data/2025/71_33.zip
72/33,BURBIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/72_33.zip
73/33,ŠILĖNAI,https://www.geoportal.lt/download/lidar_data/2025/73_33.zip
58/32,ŠIAULIŠKIAI,https://www.geoportal.lt/download/lidar_data/2025/58_32.zip
59/32,BAČKININKAI,https://www.geoportal.lt/download/lidar_data/2025/59_32.zip
60/32,AŠMINTA,https://www.geoportal.lt/download/lidar_data/2025/60_32.zip
61/32,SEKIONYS,https://www.geoportal.lt/download/lidar_data/2025/61_32.zip
62/32,VILŪNAI,https://www.geoportal.lt/download/lidar_data/2025/62_32.zip
63/32,KALVIAI,https://www.geoportal.lt/download/lidar_data/2025/63_32.zip
64/32,SEVELIONYS,https://www.geoportal.lt/download/lidar_data/2025/64_32.zip
65/32,VARKALĖS,https://www.geoportal.lt/download/lidar_data/2025/65_32.zip
66/32,BEIŽIONYS,https://www.geoportal.lt/download/lidar_data/2025/66_32.zip
67/32,VINDŽIULIAI,https://www.geoportal.lt/download/lidar_data/2025/67_32.zip
68/32,PASTRĖVYS (pietūs),https://www.geoportal.lt/download/lidar_data/2025/68_32.zip
69/32,MUSTENIAI,https://www.geoportal.lt/download/lidar_data/2025/69_32.zip
70/32,MAIDONYS,https://www.geoportal.lt/download/lidar_data/2025/70_32.zip
73/32,GRIGIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/73_32.zip
74/32,PLATINIŠKĖS (VILNIAUS mst.),https://www.geoportal.lt/download/lidar_data/2025/74_32.zip
78/32,VILNIUS - NAUJOJI VILNIA,https://www.geoportal.lt/download/lidar_data/2025/78_32.zip
58/31,PRIENLAUKYS,https://www.geoportal.lt/download/lidar_data/2025/58_31.zip
59/31,PRIENAI (šiaurė),https://www.geoportal.lt/download/lidar_data/2025/59_31.zip
60/31,VAŽATKIEMIS,https://www.geoportal.lt/download/lidar_data/2025/60_31.zip
61/31,PELEKONYS,https://www.geoportal.lt/download/lidar_data/2025/61_31.zip
62/31,KAŠONYS,https://www.geoportal.lt/download/lidar_data/2025/62_31.zip
63/31,ALŠININKAI,https://www.geoportal.lt/download/lidar_data/2025/63_31.zip
64/31,PIEŠTUVĖNAI,https://www.geoportal.lt/download/lidar_data/2025/64_31.zip
65/31,NEMAITONYS,https://www.geoportal.lt/download/lidar_data/2025/65_31.zip
66/31,LIAUKIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/66_31.zip
67/31,UBIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/67_31.zip
68/31,SEMELIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/68_31.zip
69/31,DAUGIRDIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/69_31.zip
70/31,SALKININKAI,https://www.geoportal.lt/download/lidar_data/2025/70_31.zip
71/31,JOVARIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/71_31.zip
73/31,LENTVARIS,https://www.geoportal.lt/download/lidar_data/2025/73_31.zip
74/31,TRAKŲ VOKĖ (VILNIAUS mst.),https://www.geoportal.lt/download/lidar_data/2025/74_31.zip
58/30,DŪMIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/58_30.zip
59/30,PRIENAI (pietūs),https://www.geoportal.lt/download/lidar_data/2025/59_30.zip
60/30,BIRŠTONAS,https://www.geoportal.lt/download/lidar_data/2025/60_30.zip
61/30,JIEZNO KOLONIJOS,https://www.geoportal.lt/download/lidar_data/2025/61_30.zip
62/30,JIEZNAS,https://www.geoportal.lt/download/lidar_data/2025/62_30.zip
63/30,TREČIONYS,https://www.geoportal.lt/download/lidar_data/2025/63_30.zip
64/30,STAKLIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/64_30.zip
65/30,UŽUGUOSTIS,https://www.geoportal.lt/download/lidar_data/2025/65_30.zip
66/30,AKMENIAI,https://www.geoportal.lt/download/lidar_data/2025/66_30.zip
67/30,ČIŽIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/67_30.zip
68/30,BIJŪNAI,https://www.geoportal.lt/download/lidar_data/2025/68_30.zip
69/30,KOZELKIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/69_30.zip
70/30,BARČIAI,https://www.geoportal.lt/download/lidar_data/2025/70_30.zip
71/30,ŽAIZDRIAI,https://www.geoportal.lt/download/lidar_data/2025/71_30.zip
73/30,ŠVENTININKAI,https://www.geoportal.lt/download/lidar_data/2025/73_30.zip
78/30,SKAIDIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/78_30.zip
58/29,PAPRŪDŽIAI,https://www.geoportal.lt/download/lidar_data/2025/58_29.zip
59/29,NARAVAI,https://www.geoportal.lt/download/lidar_data/2025/59_29.zip
60/29,KERNUVĖS,https://www.geoportal.lt/download/lidar_data/2025/60_29.zip
61/29,BUČIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/61_29.zip
62/29,VĖŽIONYS,https://www.geoportal.lt/download/lidar_data/2025/62_29.zip
63/29,PIKELIONYS,https://www.geoportal.lt/download/lidar_data/2025/63_29.zip
64/29,GRIPIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/64_29.zip
65/29,KRIŠTAPIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/65_29.zip
66/29,AUKŠTADVARIS,https://www.geoportal.lt/download/lidar_data/2025/66_29.zip
67/29,NIKRONYS,https://www.geoportal.lt/download/lidar_data/2025/67_29.zip
68/29,LAUSGENIAI,https://www.geoportal.lt/download/lidar_data/2025/68_29.zip
69/29,ISMONYS,https://www.geoportal.lt/download/lidar_data/2025/69_29.zip
70/29,BAJAMBALĖS,https://www.geoportal.lt/download/lidar_data/2025/70_29.zip
71/29,ALUONA I,https://www.geoportal.lt/download/lidar_data/2025/71_29.zip
72/29,SENASIS TARPUPIS,https://www.geoportal.lt/download/lidar_data/2025/72_29.zip
73/29,DIDIEJI LYGAINIAI,https://www.geoportal.lt/download/lidar_data/2025/73_29.zip
74/29,TARNĖNAI,https://www.geoportal.lt/download/lidar_data/2025/74_29.zip
77/29,PETEŠA,https://www.geoportal.lt/download/lidar_data/2025/77_29.zip
78/29,PIKTAKONYS,https://www.geoportal.lt/download/lidar_data/2025/78_29.zip
58/28,BALBIERIŠKIS,https://www.geoportal.lt/download/lidar_data/2025/58_28.zip
59/28,SIPONYS,https://www.geoportal.lt/download/lidar_data/2025/59_28.zip
60/28,PANEMUNINKAI,https://www.geoportal.lt/download/lidar_data/2025/60_28.zip
62/28,PLASAPNINKAI,https://www.geoportal.lt/download/lidar_data/2025/62_28.zip
63/28,BUTRIMONYS,https://www.geoportal.lt/download/lidar_data/2025/63_28.zip
64/28,EIČIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/64_28.zip
65/28,PARANKAVA,https://www.geoportal.lt/download/lidar_data/2025/65_28.zip
66/28,PASAMANIS,https://www.geoportal.lt/download/lidar_data/2025/66_28.zip
