INDEKSAS,PAVAD,LIDAR_LAZ
67/28,RAMANAVA,https://www.geoportal.lt/download/lidar_data/2025/67_28.zip
68/28,ŽUKLIJAI,https://www.geoportal.lt/download/lidar_data/2025/68_28.zip
69/28,PANOŠIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/69_28.zip
70/28,RŪDIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/70_28.zip
71/28,ANGLININKAI,https://www.geoportal.lt/download/lidar_data/2025/71_28.zip
72/28,PALUKNYS,https://www.geoportal.lt/download/lidar_data/2025/72_28.zip
73/28,ŽVĖRYNAS,https://www.geoportal.lt/download/lidar_data/2025/73_28.zip
74/28,PAKREMPĖ,https://www.geoportal.lt/download/lidar_data/2025/74_28.zip
75/28,MEREŠLĖNAI,https://www.geoportal.lt/download/lidar_data/2025/75_28.zip
76/28,PARUDAMINYS,https://www.geoportal.lt/download/lidar_data/2025/76_28.zip
77/28,MARIJAMPOLIS,https://www.geoportal.lt/download/lidar_data/2025/77_28.zip
78/28,RAKONYS,https://www.geoportal.lt/download/lidar_data/2025/78_28.zip
58/27,ŽAGARIAI,https://www.geoportal.lt/download/lidar_data/2025/58_27.zip
59/27,GENIAI,https://www.geoportal.lt/download/lidar_data/2025/59_27.zip
60/27,PRANIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/60_27.zip
61/27,ŽAGARIAI,https://www.geoportal.lt/download/lidar_data/2025/61_27.zip
62/27,RAIŽIAI,https://www.geoportal.lt/download/lidar_data/2025/62_27.zip
63/27,KEDONYS,https://www.geoportal.lt/download/lidar_data/2025/63_27.zip
64/27,PIVAŠIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/64_27.zip
65/27,SUDVARIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/65_27.zip
66/27,ALABURDIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/66_27.zip
67/27,ONUŠKIS,https://www.geoportal.lt/download/lidar_data/2025/67_27.zip
68/27,GRUOŽNINKAI,https://www.geoportal.lt/download/lidar_data/2025/68_27.zip
69/27,VAIKŠTENIAI,https://www.geoportal.lt/download/lidar_data/2025/69_27.zip
70/27,ŽĖRONYS,https://www.geoportal.lt/download/lidar_data/2025/70_27.zip
71/27,INKLĖRIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/71_27.zip
72/27,MADŽIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/72_27.zip
73/27,MAMAVYS,https://www.geoportal.lt/download/lidar_data/2025/73_27.zip
74/27,BALTOJI VOKĖ,https://www.geoportal.lt/download/lidar_data/2025/74_27.zip
75/27,RUDNIA,https://www.geoportal.lt/download/lidar_data/2025/75_27.zip
76/27,Gelež. stotis JAŠIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/76_27.zip
77/27,KEIDŽIAI,https://www.geoportal.lt/download/lidar_data/2025/77_27.zip
58/26,ŪDRIJA,https://www.geoportal.lt/download/lidar_data/2025/58_26.zip
59/26,MIKLUSĖNAI,https://www.geoportal.lt/download/lidar_data/2025/59_26.zip
60/26,ALYTUS - PUTINAI,https://www.geoportal.lt/download/lidar_data/2025/60_26.zip
61/26,VAISODŽIAI,https://www.geoportal.lt/download/lidar_data/2025/61_26.zip
62/26,TABALENKA,https://www.geoportal.lt/download/lidar_data/2025/62_26.zip
63/26,SKRAIČIONYS,https://www.geoportal.lt/download/lidar_data/2025/63_26.zip
64/26,MIKALAVAS,https://www.geoportal.lt/download/lidar_data/2025/64_26.zip
65/26,DUSMENĖLIAI,https://www.geoportal.lt/download/lidar_data/2025/65_26.zip
66/26,DUSMENYS,https://www.geoportal.lt/download/lidar_data/2025/66_26.zip
67/26,TAUČIONYS,https://www.geoportal.lt/download/lidar_data/2025/67_26.zip
68/26,KAREIVONYS,https://www.geoportal.lt/download/lidar_data/2025/68_26.zip
69/26,KALVIAI,https://www.geoportal.lt/download/lidar_data/2025/69_26.zip
70/26,TILTAI,https://www.geoportal.lt/download/lidar_data/2025/70_26.zip
71/26,NAUJIENOS,https://www.geoportal.lt/download/lidar_data/2025/71_26.zip
72/26,MACELIAI,https://www.geoportal.lt/download/lidar_data/2025/72_26.zip
73/26,SENIEJI MACELIAI,https://www.geoportal.lt/download/lidar_data/2025/73_26.zip
58/25,VANKIŠKIAI,https://www.geoportal.lt/download/lidar_data/2025/58_25.zip
59/25,LUKSNĖNAI,https://www.geoportal.lt/download/lidar_data/2025/59_25.zip
61/25,VENCIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/61_25.zip
62/25,DOMANTONYS,https://www.geoportal.lt/download/lidar_data/2025/62_25.zip
63/25,RODŽIA,https://www.geoportal.lt/download/lidar_data/2025/63_25.zip
64/25,KANČĖNAI,https://www.geoportal.lt/download/lidar_data/2025/64_25.zip
65/25,VAIKANTONYS,https://www.geoportal.lt/download/lidar_data/2025/65_25.zip
66/25,PAMUSIAI,https://www.geoportal.lt/download/lidar_data/2025/66_25.zip
67/25,GENIONYS,https://www.geoportal.lt/download/lidar_data/2025/67_25.zip
68/25,ŽILINAI,https://www.geoportal.lt/download/lidar_data/2025/68_25.zip
69/25,PŪČKORNĖS,https://www.geoportal.lt/download/lidar_data/2025/69_25.zip
70/25,VALKININKAI,https://www.geoportal.lt/download/lidar_data/2025/70_25.zip
71/25,DARGUŽIAI,https://www.geoportal.lt/download/lidar_data/2025/71_25.zip
72/25,PIRČIUPIAI,https://www.geoportal.lt/download/lidar_data/2025/72_25.zip
73/25,RŪDNINKŲ GIRIA,https://www.geoportal.lt/download/lidar_data/2025/73_25.zip
58/24,MIROSLAVAS,https://www.geoportal.lt/download/lidar_data/2025/58_24.zip
59/24,TALOKIAI,https://www.geoportal.lt/download/lidar_data/2025/59_24.zip
60/24,GEČIALAUKIS,https://www.geoportal.lt/download/lidar_data/2025/60_24.zip
61/24,BALNINKAI,https://www.geoportal.lt/download/lidar_data/2025/61_24.zip
62/24,ALOVĖ,https://www.geoportal.lt/download/lidar_data/2025/62_24.zip
63/24,POCELONYS,https://www.geoportal.lt/download/lidar_data/2025/63_24.zip
64/24,DAUGAI,https://www.geoportal.lt/download/lidar_data/2025/64_24.zip
65/24,GUDŽIAI,https://www.geoportal.lt/download/lidar_data/2025/65_24.zip
66/24,GEIDUKONYS,https://www.geoportal.lt/download/lidar_data/2025/66_24.zip
67/24,VAZGIRDONYS,https://www.geoportal.lt/download/lidar_data/2025/67_24.zip
68/24,PUODŽIAI,https://www.geoportal.lt/download/lidar_data/2025/68_24.zip
69/24,Gelež. stotis VALKININKAI,https://www.geoportal.lt/download/lidar_data/2025/69_24.zip
70/24,PAKLĖŠTARĖ,https://www.geoportal.lt/download/lidar_data/2025/70_24.zip
71/24,UŽUPERKASIS,https://www.geoportal.lt/download/lidar_data/2025/71_24.zip
72/24,GĖLŪNAI,https://www.geoportal.lt/download/lidar_data/2025/72_24.zip
73/24,NEVAINIONYS,https://www.geoportal.lt/download/lidar_data/2025/73_24.zip
58/23,MANKŪNAI,https://www.geoportal.lt/download/lidar_data/2025/58_23.zip
59/23,PUPASODIS,https://www.geoportal.lt/download/lidar_data/2025/59_23.zip
60/23,NEMUNAITIS,https://www.geoportal.lt/download/lidar_data/2025/60_23.zip
61/23,MEŠKASALIS,https://www.geoportal.lt/download/lidar_data/2025/61_23.zip
62/23,ILGAI,https://www.geoportal.lt/download/lidar_data/2025/62_23.zip
63/23,MEŠKUČIAI,https://www.geoportal.lt/download/lidar_data/2025/63_23.zip
64/23,PAKARŠYS,https://www.geoportal.lt/download/lidar_data/2025/64_23.zip
65/23,TOLKŪNAI,https://www.geoportal.lt/download/lidar_data/2025/65_23.zip
66/23,EŽERIEKAI,https://www.geoportal.lt/download/lidar_data/2025/66_23.zip
67/23,GLŪKAS,https://www.geoportal.lt/download/lidar_data/2025/67_23.zip
68/23,MATUIZOS,https://www.geoportal.lt/download/lidar_data/2025/68_23.zip
69/23,VORIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/69_23.zip
70/23,KRŪMINIAI,https://www.geoportal.lt/download/lidar_data/2025/70_23.zip
71/23,ČEBATORIAI,https://www.geoportal.lt/download/lidar_data/2025/71_23.zip
72/23,TETĖNAI,https://www.geoportal.lt/download/lidar_data/2025/72_23.zip
73/23,PABARĖ,https://www.geoportal.lt/download/lidar_data/2025/73_23.zip
58/22,NORAGĖLIAI,https://www.geoportal.lt/download/lidar_data/2025/58_22.zip
59/22,JUOZAPAVIČIAI,https://www.geoportal.lt/download/lidar_data/2025/59_22.zip
60/22,SAVILIONYS,https://www.geoportal.lt/download/lidar_data/2025/60_22.zip
61/22,MAKNIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/61_22.zip
62/22,ILGININKAI,https://www.geoportal.lt/download/lidar_data/2025/62_22.zip
63/22,PILVINGIAI,https://www.geoportal.lt/download/lidar_data/2025/63_22.zip
64/22,NEDINGĖ,https://www.geoportal.lt/download/lidar_data/2025/64_22.zip
65/22,DVARČIAI,https://www.geoportal.lt/download/lidar_data/2025/65_22.zip
66/22,SALOVARTĖ,https://www.geoportal.lt/download/lidar_data/2025/66_22.zip
67/22,SENOJI VARĖNA,https://www.geoportal.lt/download/lidar_data/2025/67_22.zip
68/22,GIRAITĖ,https://www.geoportal.lt/download/lidar_data/2025/68_22.zip
69/22,JURGIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/69_22.zip
70/22,PASGRINDA,https://www.geoportal.lt/download/lidar_data/2025/70_22.zip
71/22,PAJUODUPIS,https://www.geoportal.lt/download/lidar_data/2025/71_22.zip
58/21,GUDONYS,https://www.geoportal.lt/download/lidar_data/2025/58_21.zip
59/21,KRIKŠTONYS,https://www.geoportal.lt/download/lidar_data/2025/59_21.zip
60/21,RYLIŠKIAI,https://www.geoportal.lt/download/lidar_data/2025/60_21.zip
61/21,SAMŪNIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/61_21.zip
62/21,MASALIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/62_21.zip
63/21,GUDAKIEMIS,https://www.geoportal.lt/download/lidar_data/2025/63_21.zip
64/21,BUROKARAISTIS,https://www.geoportal.lt/download/lidar_data/2025/64_21.zip
65/21,PERLOJA,https://www.geoportal.lt/download/lidar_data/2025/65_21.zip
66/21,MERGEŽERIS,https://www.geoportal.lt/download/lidar_data/2025/66_21.zip
67/21,VARĖNA,https://www.geoportal.lt/download/lidar_data/2025/67_21.zip
68/21,BARČIAI,https://www.geoportal.lt/download/lidar_data/2025/68_21.zip
77/40,MIEŽONIAI,https://www.geoportal.lt/download/lidar_data/2025/77_40.zip
78/40,DUBINGIAI,https://www.geoportal.lt/download/lidar_data/2025/78_40.zip
75/38,PABERŽĖ,https://www.geoportal.lt/download/lidar_data/2025/75_38.zip
76/38,KUDRIAI,https://www.geoportal.lt/download/lidar_data/2025/76_38.zip
77/37,EITMINIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/77_37.zip
66/36,GUDIENA,https://www.geoportal.lt/download/lidar_data/2025/66_36.zip
74/35,VABALIAI,https://www.geoportal.lt/download/lidar_data/2025/74_35.zip
69/34,ABROMIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/69_34.zip
74/34,PIKUTIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/74_34.zip
76/34,DIDIEJI GULBINAI (VILNIAUS mst.),https://www.geoportal.lt/download/lidar_data/2025/76_34.zip
77/34,VILNIUS - NAUJIEJI VERKIAI,https://www.geoportal.lt/download/lidar_data/2025/77_34.zip
70/33,PYLIMAI,https://www.geoportal.lt/download/lidar_data/2025/70_33.zip
74/33,VAIVADIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/74_33.zip
75/33,ZUJŪNAI,https://www.geoportal.lt/download/lidar_data/2025/75_33.zip
76/33,VILNIUS - JERUZALĖ,https://www.geoportal.lt/download/lidar_data/2025/76_33.zip
77/33,VILNIUS-AUKŠTAGIRIS,https://www.geoportal.lt/download/lidar_data/2025/77_33.zip
78/33,GALGIAI,https://www.geoportal.lt/download/lidar_data/2025/78_33.zip
71/32,BRAŽUOLĖ,https://www.geoportal.lt/download/lidar_data/2025/71_32.zip
72/32,RYKANTAI,https://www.geoportal.lt/download/lidar_data/2025/72_32.zip
75/32,VILNIUS - KAROLINIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/75_32.zip
76/32,VILNIUS (centras),https://www.geoportal.lt/download/lidar_data/2025/76_32.zip
77/32,VILNIUS - ROKANTIŠKĖS,https://www.geoportal.lt/download/lidar_data/2025/77_32.zip
72/31,TRAKAI,https://www.geoportal.lt/download/lidar_data/2025/72_31.zip
75/31,VILNIUS-ŽEMIEJI PANERIAI,https://www.geoportal.lt/download/lidar_data/2025/75_31.zip
76/31,VILNIUS - KIRTIMAI,https://www.geoportal.lt/download/lidar_data/2025/76_31.zip
